job_id,step,stage,request_state,requested_model,returned_model,max_tokens,input_tokens,output_tokens,usage_complete,seconds,finish_reason,output_at_limit,unclosed_thinking_block,response_received_utc,request_id,raw_response_sha256
minimax-relational_branch-b8,0,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1304,1800,True,26.454936599940993,length,True,False,2026-09-25T18:50:54.664231+00:00,0705f5748ac4aca708f61835acbc2677,f3aa07dfaf7517fb5d0a5de291b2b14bb01064258559acb3029d970ba04a6a0e
minimax-relational_branch-b8,1,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1170,1800,True,6.36299880000297,length,True,False,2026-09-25T18:51:01.088755+00:00,0705f58e434bbcabafff2a4c2ffb6a92,9c177abbb8dd37e59a920b28a7ae764ee35f9847c096759a0c608139d224000f
minimax-relational_branch-b8,2,coder,response_persisted,MiniMax-M3,MiniMax-M3,2000,750,1636,True,5.3620981000131,stop,False,False,2026-09-25T18:51:32.654534+00:00,0705f5afd065d61a3f58687823f19752,330619b81b89cdb7a9b2d128381f817732f0c8894d3a1581adefec6e13ba8109
minimax-relational_branch-b8,2,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1236,1641,True,26.101401600055397,stop,False,False,2026-09-25T18:51:27.257365+00:00,0705f595a1d7382335be86740c14d27a,2c36bee082b989dfd068e44c7122182a820f82cf23ac5381f777b91fdf551284
minimax-relational_branch-b8,3,coder,response_persisted,MiniMax-M3,MiniMax-M3,2000,763,1488,True,8.462487899931148,stop,False,False,2026-09-25T18:51:52.075792+00:00,0705f5bf945f6a4aa7c26e6db43d3efe,1a1fa3c199ca14665f9969d2a0a0a4e4df2ec37384cc88ee8ed7452dea98e408
minimax-relational_branch-b8,3,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1288,1581,True,10.661624599946663,stop,False,False,2026-09-25T18:51:43.579097+00:00,0705f5b50b51151d982d30b65e36fb8f,8bcef7d24e2201f42367c66939961ae5125312da7e8e2928e66ec907e12658bf
minimax-relational_branch-b8,4,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1255,1800,True,14.74667230003979,length,True,False,2026-09-25T18:52:07.104077+00:00,0705f5c844f6847f33ca3efc2b07be71,0281aa286ace848272445e869f23c43b18af2d3612bbfb748fea5d46cfefc95f
minimax-relational_branch-b8,5,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1321,1800,True,6.643778000026941,length,True,False,2026-09-25T18:52:13.820994+00:00,0705f5d76d67f9e55414ce9d5fbfae54,1057c630e8e46e5f5ff55b66e790514be31910108f2920bfe114344b329fb377
minimax-relational_branch-b8,6,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1129,1799,True,14.199562499998137,length,False,False,2026-09-25T18:52:28.090039+00:00,0705f5de00474c0f9a0e3ce82ec078fd,bf33ee9933e01c742c85eaa4c7abe4fc0e027976604c112b31504e5946c8d318
minimax-relational_branch-b8,7,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1128,1800,True,6.689881500089541,length,True,False,2026-09-25T18:52:34.851825+00:00,0705f5ec61e8808ad2b517f5eee74c0b,3a671d46f68a8db0144477491a61169f5cec1790f16548f098c495010d092e6f
minimax-relational_branch-b3,0,coder,response_persisted,MiniMax-M3,MiniMax-M3,2000,722,2000,True,6.729480499983765,length,True,False,2026-09-25T18:52:55.625362+00:00,0705f6017a900786801b6d2c6fea4b76,896b81dceb4af6b389d634c74e0ee40c5d7c42fb6b19988cd5a6a1507460420a
minimax-relational_branch-b3,0,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1295,1408,True,6.538031700067222,stop,False,False,2026-09-25T18:52:48.862906+00:00,0705f5fa97385356cff15b25a6acb049,f0a2711253700b117d5d8fa664bd67f9fb86be05f6cbd8307396a8751292a150
minimax-relational_branch-b3,1,planner,response_persisted,MiniMax-M3,MiniMax-M3,1800,1217,1800,True,10.531991299940273,length,True,False,2026-09-25T18:53:06.236011+00:00,0705f607757fcac7e3f59dc67d073214,e486208d758559356051e78c80ccd87c60b4757c4fb5c895820306624a3651c9
