block,controller,dispatched,finish_reason,input_tokens,job_id,max_tokens,output_tokens,requested_model,returned_model,s0_complete,s0_schema_valid,s0_valid,s0_validation_reason,seconds,seed,stage,state,step,unclosed_thought,usage_complete
11,niche_fixed_dev,True,stop,719,minimax-niche_fixed_dev-b11-s0,8192,1002,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,15.062814999953844,0,coder,response_persisted,0,False,True
11,niche_fixed_dev,True,stop,1284,minimax-niche_fixed_dev-b11-s0,16384,2097,MiniMax-M3,MiniMax-M3,True,True,True,valid,37.47544129996095,0,planner,response_persisted,0,False,True
11,niche_fixed_dev,True,stop,740,minimax-niche_fixed_dev-b11-s0,8192,1322,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,4.496082900092006,0,coder,response_persisted,1,False,True
11,niche_fixed_dev,True,stop,1378,minimax-niche_fixed_dev-b11-s0,16384,2933,MiniMax-M3,MiniMax-M3,True,True,True,valid,10.69525380001869,0,planner,response_persisted,1,False,True
11,niche_fixed_dev,True,stop,809,minimax-niche_fixed_dev-b11-s0,8192,537,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,7.410782500053756,0,coder,response_persisted,2,False,True
11,niche_fixed_dev,True,stop,1673,minimax-niche_fixed_dev-b11-s0,16384,3667,MiniMax-M3,MiniMax-M3,True,True,True,valid,22.85022070002742,0,planner,response_persisted,2,False,True
11,niche_fixed_dev,True,stop,778,minimax-niche_fixed_dev-b11-s0,8192,828,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,5.736209700000472,0,coder,response_persisted,3,False,True
11,niche_fixed_dev,True,stop,1501,minimax-niche_fixed_dev-b11-s0,16384,2774,MiniMax-M3,MiniMax-M3,True,True,True,valid,9.247155499993823,0,planner,response_persisted,3,False,True
11,niche_fixed_dev,True,stop,765,minimax-niche_fixed_dev-b11-s0,8192,1167,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,6.618539500050247,0,coder,response_persisted,4,False,True
11,niche_fixed_dev,True,stop,1296,minimax-niche_fixed_dev-b11-s0,16384,6003,MiniMax-M3,MiniMax-M3,True,True,True,valid,34.436027199961245,0,planner,response_persisted,4,False,True
11,niche_fixed_dev,True,stop,841,minimax-niche_fixed_dev-b11-s0,8192,1211,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,11.15846900001634,0,coder,response_persisted,5,False,True
11,niche_fixed_dev,True,stop,1650,minimax-niche_fixed_dev-b11-s0,16384,4587,MiniMax-M3,MiniMax-M3,True,True,True,valid,17.143634999985807,0,planner,response_persisted,5,False,True
11,niche_fixed_dev,True,stop,828,minimax-niche_fixed_dev-b11-s0,8192,950,MiniMax-M3,MiniMax-M3,True,True,True,executable_on_4_feature_fixtures,3.053878500009887,0,coder,response_persisted,6,False,True
11,niche_fixed_dev,True,stop,1698,minimax-niche_fixed_dev-b11-s0,16384,3996,MiniMax-M3,MiniMax-M3,True,True,True,valid,14.172311899950728,0,planner,response_persisted,6,False,True
